"mon_year"	"category"	"n"
"Jan-2005"	1	280
"Jan-2005"	2	65
"Jan-2005"	3	47
"Jan-2005"	4	66
"Jan-2005"	5	28
"Jan-2005"	6	40
"Jan-2005"	7	70
"Jan-2005"	8	15
"Jan-2005"	9	28
"Jan-2005"	10	56
"Jan-2005"	11	37
"Jan-2005"	12	45
"Jan-2005"	13	52
"Jan-2005"	14	40
"Jan-2005"	15	119
"Jan-2005"	16	18
"Jan-2005"	17	6
"Jan-2005"	18	13
"Jan-2005"	19	30
"Jan-2005"	20	26
"Jan-2005"	NA	14
"Jan-2006"	1	352
"Jan-2006"	2	92
"Jan-2006"	3	57
"Jan-2006"	4	88
"Jan-2006"	5	56
"Jan-2006"	6	35
"Jan-2006"	7	90
"Jan-2006"	8	33
"Jan-2006"	9	27
"Jan-2006"	10	105
"Jan-2006"	11	27
"Jan-2006"	12	71
"Jan-2006"	13	38
"Jan-2006"	14	50
"Jan-2006"	15	121
"Jan-2006"	16	14
"Jan-2006"	17	9
"Jan-2006"	18	29
"Jan-2006"	19	53
"Jan-2006"	20	39
"Jan-2007"	1	59
"Jan-2007"	2	8
"Jan-2007"	3	14
"Jan-2007"	4	25
"Jan-2007"	5	12
"Jan-2007"	6	12
"Jan-2007"	7	26
"Jan-2007"	8	7
"Jan-2007"	9	4
"Jan-2007"	10	34
"Jan-2007"	11	8
"Jan-2007"	12	14
"Jan-2007"	13	13
"Jan-2007"	14	21
"Jan-2007"	15	28
"Jan-2007"	16	7
"Jan-2007"	18	10
"Jan-2007"	19	12
"Jan-2007"	20	7
"Jan-2008"	1	312
"Jan-2008"	2	104
"Jan-2008"	3	74
"Jan-2008"	4	129
"Jan-2008"	5	72
"Jan-2008"	6	43
"Jan-2008"	7	113
"Jan-2008"	8	36
"Jan-2008"	9	44
"Jan-2008"	10	113
"Jan-2008"	11	37
"Jan-2008"	12	83
"Jan-2008"	13	51
"Jan-2008"	14	76
"Jan-2008"	15	196
"Jan-2008"	16	24
"Jan-2008"	17	13
"Jan-2008"	18	52
"Jan-2008"	19	85
"Jan-2008"	20	57
"Jan-2009"	1	177
"Jan-2009"	2	54
"Jan-2009"	3	50
"Jan-2009"	4	73
"Jan-2009"	5	47
"Jan-2009"	6	31
"Jan-2009"	7	66
"Jan-2009"	8	18
"Jan-2009"	9	32
"Jan-2009"	10	72
"Jan-2009"	11	23
"Jan-2009"	12	52
"Jan-2009"	13	24
"Jan-2009"	14	70
"Jan-2009"	15	103
"Jan-2009"	16	17
"Jan-2009"	17	3
"Jan-2009"	18	25
"Jan-2009"	19	35
"Jan-2009"	20	36
"Jan-2010"	1	182
"Jan-2010"	2	57
"Jan-2010"	3	64
"Jan-2010"	4	106
"Jan-2010"	5	40
"Jan-2010"	6	36
"Jan-2010"	7	91
"Jan-2010"	8	25
"Jan-2010"	9	42
"Jan-2010"	10	94
"Jan-2010"	11	21
"Jan-2010"	12	62
"Jan-2010"	13	17
"Jan-2010"	14	101
"Jan-2010"	15	108
"Jan-2010"	16	13
"Jan-2010"	17	9
"Jan-2010"	18	40
"Jan-2010"	19	43
"Jan-2010"	20	38
"Jan-2011"	1	258
"Jan-2011"	2	114
"Jan-2011"	3	90
"Jan-2011"	4	138
"Jan-2011"	5	49
"Jan-2011"	6	56
"Jan-2011"	7	106
"Jan-2011"	8	35
"Jan-2011"	9	65
"Jan-2011"	10	160
"Jan-2011"	11	59
"Jan-2011"	12	95
"Jan-2011"	13	40
"Jan-2011"	14	137
"Jan-2011"	15	190
"Jan-2011"	16	38
"Jan-2011"	17	15
"Jan-2011"	18	44
"Jan-2011"	19	55
"Jan-2011"	20	78
"Jan-2012"	1	198
"Jan-2012"	2	82
"Jan-2012"	3	68
"Jan-2012"	4	129
"Jan-2012"	5	56
"Jan-2012"	6	37
"Jan-2012"	7	93
"Jan-2012"	8	17
"Jan-2012"	9	44
"Jan-2012"	10	112
"Jan-2012"	11	31
"Jan-2012"	12	71
"Jan-2012"	13	34
"Jan-2012"	14	120
"Jan-2012"	15	124
"Jan-2012"	16	30
"Jan-2012"	17	10
"Jan-2012"	18	42
"Jan-2012"	19	35
"Jan-2012"	20	38
"Jan-2013"	1	80
"Jan-2013"	2	32
"Jan-2013"	3	36
"Jan-2013"	4	73
"Jan-2013"	5	21
"Jan-2013"	6	14
"Jan-2013"	7	46
"Jan-2013"	8	8
"Jan-2013"	9	24
"Jan-2013"	10	46
"Jan-2013"	11	16
"Jan-2013"	12	24
"Jan-2013"	13	18
"Jan-2013"	14	63
"Jan-2013"	15	66
"Jan-2013"	16	14
"Jan-2013"	17	4
"Jan-2013"	18	14
"Jan-2013"	19	16
"Jan-2013"	20	27
"Jan-2014"	1	69
"Jan-2014"	2	53
"Jan-2014"	3	56
"Jan-2014"	4	85
"Jan-2014"	5	25
"Jan-2014"	6	19
"Jan-2014"	7	54
"Jan-2014"	8	12
"Jan-2014"	9	27
"Jan-2014"	10	61
"Jan-2014"	11	18
"Jan-2014"	12	31
"Jan-2014"	13	18
"Jan-2014"	14	67
"Jan-2014"	15	66
"Jan-2014"	16	14
"Jan-2014"	17	4
"Jan-2014"	18	20
"Jan-2014"	19	27
"Jan-2014"	20	24
"Jul-2004"	1	225
"Jul-2004"	2	41
"Jul-2004"	3	29
"Jul-2004"	4	26
"Jul-2004"	5	28
"Jul-2004"	6	11
