"mon_year"	"category"	"n"
"Dec-2005"	"sports, hobbies, & recreation"	11
"Dec-2005"	"technology"	18
"Dec-2005"	"travel & transportation"	13
"Dec-2005"	"work & money"	15
"Dec-2005"	"writing & language"	5
"Dec-2006"	"clothing, beauty, & fashion"	24
"Dec-2006"	"computers & internet"	164
"Dec-2006"	"education"	16
"Dec-2006"	"food & drink"	33
"Dec-2006"	"grab bag"	28
"Dec-2006"	"health & fitness"	50
"Dec-2006"	"home & garden"	25
"Dec-2006"	"human relations"	51
"Dec-2006"	"law & government"	15
"Dec-2006"	"media & arts"	86
"Dec-2006"	"pets & animals"	17
"Dec-2006"	"religion & philosophy"	11
"Dec-2006"	"science & nature"	16
"Dec-2006"	"shopping"	23
"Dec-2006"	"society & culture"	18
"Dec-2006"	"sports, hobbies, & recreation"	35
"Dec-2006"	"technology"	52
"Dec-2006"	"travel & transportation"	55
"Dec-2006"	"work & money"	42
"Dec-2006"	"writing & language"	15
"Dec-2007"	"clothing, beauty, & fashion"	44
"Dec-2007"	"computers & internet"	296
"Dec-2007"	"education"	35
"Dec-2007"	"food & drink"	80
"Dec-2007"	"grab bag"	66
"Dec-2007"	"health & fitness"	110
"Dec-2007"	"home & garden"	58
"Dec-2007"	"human relations"	91
"Dec-2007"	"law & government"	32
"Dec-2007"	"media & arts"	164
"Dec-2007"	"pets & animals"	17
"Dec-2007"	"religion & philosophy"	15
"Dec-2007"	"science & nature"	23
"Dec-2007"	"shopping"	59
"Dec-2007"	"society & culture"	44
"Dec-2007"	"sports, hobbies, & recreation"	51
"Dec-2007"	"technology"	90
"Dec-2007"	"travel & transportation"	115
"Dec-2007"	"work & money"	83
"Dec-2007"	"writing & language"	44
"Dec-2008"	"clothing, beauty, & fashion"	25
"Dec-2008"	"computers & internet"	155
"Dec-2008"	"education"	24
"Dec-2008"	"food & drink"	31
"Dec-2008"	"grab bag"	38
"Dec-2008"	"health & fitness"	44
"Dec-2008"	"home & garden"	42
"Dec-2008"	"human relations"	73
"Dec-2008"	"law & government"	25
"Dec-2008"	"media & arts"	67
"Dec-2008"	"pets & animals"	16
"Dec-2008"	"religion & philosophy"	6
"Dec-2008"	"science & nature"	15
"Dec-2008"	"shopping"	24
"Dec-2008"	"society & culture"	29
"Dec-2008"	"sports, hobbies, & recreation"	24
"Dec-2008"	"technology"	55
"Dec-2008"	"travel & transportation"	35
"Dec-2008"	"work & money"	52
"Dec-2008"	"writing & language"	27
"Dec-2009"	"clothing, beauty, & fashion"	19
"Dec-2009"	"computers & internet"	70
"Dec-2009"	"education"	16
"Dec-2009"	"food & drink"	47
"Dec-2009"	"grab bag"	18
"Dec-2009"	"health & fitness"	36
"Dec-2009"	"home & garden"	28
"Dec-2009"	"human relations"	42
"Dec-2009"	"law & government"	14
"Dec-2009"	"media & arts"	58
"Dec-2009"	"pets & animals"	6
"Dec-2009"	"religion & philosophy"	6
"Dec-2009"	"science & nature"	2
"Dec-2009"	"shopping"	12
"Dec-2009"	"society & culture"	13
"Dec-2009"	"sports, hobbies, & recreation"	18
"Dec-2009"	"technology"	38
"Dec-2009"	"travel & transportation"	39
"Dec-2009"	"work & money"	49
"Dec-2009"	"writing & language"	10
"Dec-2010"	"clothing, beauty, & fashion"	44
"Dec-2010"	"computers & internet"	225
"Dec-2010"	"education"	50
"Dec-2010"	"food & drink"	103
"Dec-2010"	"grab bag"	59
"Dec-2010"	"health & fitness"	124
"Dec-2010"	"home & garden"	93
"Dec-2010"	"human relations"	136
"Dec-2010"	"law & government"	41
"Dec-2010"	"media & arts"	143
"Dec-2010"	"pets & animals"	29
"Dec-2010"	"religion & philosophy"	13
"Dec-2010"	"science & nature"	32
"Dec-2010"	"shopping"	73
"Dec-2010"	"society & culture"	40
"Dec-2010"	"sports, hobbies, & recreation"	63
"Dec-2010"	"technology"	90
"Dec-2010"	"travel & transportation"	102
"Dec-2010"	"work & money"	115
"Dec-2010"	"writing & language"	42
"Dec-2011"	"clothing, beauty, & fashion"	46
"Dec-2011"	"computers & internet"	218
"Dec-2011"	"education"	45
"Dec-2011"	"food & drink"	96
"Dec-2011"	"grab bag"	71
"Dec-2011"	"health & fitness"	147
"Dec-2011"	"home & garden"	92
"Dec-2011"	"human relations"	173
"Dec-2011"	"law & government"	43
